VM,Datacenter,Cluster,Hard Disk,Datastore,VMConfigFile,VMDKpath
CS-CS-ESX,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] CS-CS-ESX/CS-CS-ESX.vmx,[SAN_Storage] CS-CS-ESX/CS-CS-ESX.vmdk
CS-CS-HV12R2,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] CS-CS-HV12R2/CS-CS-HV12R2.vmx,[SAN_Storage] CS-CS-HV12R2/CS-CS-HV12R2_3.vmdk
CS-LUP-ESX,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] CS-LUP-ESX/CS-LUP-ESX.vmx,[SAN_Storage] CS-LUP-ESX/CS-LUP-ESX.vmdk
CS-LUP-HV12R2,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] CS-LUP-HV12R2/CS-LUP-HV12R2.vmx,[SAN_Storage] CS-LUP-HV12R2/CS-LUP-HV12R2_3.vmdk
CS-MC-ESX,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] CS-MC-ESX/CS-MC-ESX.vmx,[SAN_Storage] CS-MC-ESX/CS-MC-ESX.vmdk
CS-MC-HV12R2,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] CS-MC-HV12R2/CS-MC-HV12R2.vmx,[SAN_Storage] CS-MC-HV12R2/CS-MC-HV12R2_3.vmdk
DAVBON1 2012R2 17.98,AltaroProduction,Cluster,Hard disk 1,16.120 Main Datastore,[16.120 Main Datastore] Windows 2012 R2 - David Bonnici/Windows 2012 R2 - David Bonnici.vmx,[16.120 Main Datastore] Windows 2012 R2 - David Bonnici/Windows 2012 R2 - David Bonnici_3.vmdk
dev03-a1,AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] dev03-a1/dev03-a1.vmx,[FREENAS SSD] dev03-a1/dev03-a1.vmdk
dev08-j1n1,AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] dev08-j1n1/dev08-j1n1.vmx,[FREENAS SSD] dev08-j1n1/dev08-j1n1.vmdk
dev08-j1n2,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] dev08-j1n2/dev08-j1n2.vmx,[SAN_Storage] dev08-j1n2/dev08-j1n2.vmdk
DEV08-j3n0,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] DEVTEST08/Biljana-1.vmx,[SAN_Storage] DEVTEST08/DEVTEST08.vmdk
dev08-l1n1 (formerly j2n1),AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] dev08-j2n1/dev08-j2n1.vmx,[FREENAS SSD] dev08-j2n1/dev08-j2n1.vmdk
dev08-l1n2 (formerly j2n2),AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] dev08-j2n2/dev08-j2n2.vmx,[FREENAS SSD] dev08-j2n2/dev08-j2n2.vmdk
dev12-a1,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] dev12-a1/dev12-a1.vmx,[SAN_Storage] dev12-a1/dev12-a1_3.vmdk
dev12-CORE,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] dev12-CORE/dev12-CORE.vmx,[SAN_Storage] dev12-CORE/dev12-CORE.vmdk
dev12-j1n1,AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] dev12-j1n1/dev12-j1n1.vmx,[FREENAS SSD] dev12-j1n1/dev12-j1n1.vmdk
dev12-j1n2,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] dev12-j1n2/dev12-j1n2.vmx,[QNAP953] dev12-j1n2/dev12-j1n2_2.vmdk
dev12-j1n2,AltaroProduction,Cluster,Hard disk 2,QNAP953,[QNAP953] dev12-j1n2/dev12-j1n2.vmx,[QNAP953] dev12-j1n2/dev12-j1n2_1.vmdk
dev12-j2n1,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] dev12-j2n1/dev12-j2n1.vmx,[QNAP953] dev12-j2n1/dev12-j2n1_4.vmdk
dev12-j2n1,AltaroProduction,Cluster,Hard disk 2,QNAP953,[QNAP953] dev12-j2n1/dev12-j2n1.vmx,[QNAP953] dev12-j2n1/dev12-j2n1_1.vmdk
dev12-j2n1,AltaroProduction,Cluster,Hard disk 3,QNAP953,[QNAP953] dev12-j2n1/dev12-j2n1.vmx,[QNAP953] dev12-j2n1/dev12-j2n1_2.vmdk
dev12-j2n1,AltaroProduction,Cluster,Hard disk 4,QNAP953,[QNAP953] dev12-j2n1/dev12-j2n1.vmx,[QNAP953] dev12-j2n1/dev12-j2n1_3.vmdk
dev12-j2n2,AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] dev12-j2n2/dev12-j2n2.vmx,[FREENAS SSD] dev12-j2n2/dev12-j2n2.vmdk
dev12-j2n2,AltaroProduction,Cluster,Hard disk 2,FREENAS HDD1.5,[FREENAS SSD] dev12-j2n2/dev12-j2n2.vmx,[FREENAS HDD1.5] dev12-j2n2/dev12-j2n2.vmdk
dev12-j3n1,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] dev12-j3n1/dev12-j3n1.vmx,[QNAP953] dev12-j3n1/dev12-j3n1.vmdk
dev12-j3n2,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] dev12-j3n2/dev12-j3n2.vmx,[QNAP953] dev12-j3n2/dev12-j3n2.vmdk
dev12-l1n1,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] dev12-l1n1/dev12-l1n1.vmx,[QNAP953] dev12-l1n1/dev12-l1n1.vmdk
dev12-l1n2,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] dev12-l1n2/dev12-l1n2.vmx,[QNAP953] dev12-l1n2/dev12-l1n2.vmdk
dev12-l2n1,AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] dev12-l2n1/dev12-l2n1.vmx,[FREENAS SSD] dev12-l2n1/dev12-l2n1.vmdk
dev12-l2n2,AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] dev12-l2n2/dev12-l2n2.vmx,[FREENAS SSD] dev12-l2n2/dev12-l2n2.vmdk
dev16-j1n1,AltaroProduction,Cluster,Hard disk 1,FREENAS SSD,[FREENAS SSD] dev16-j1n1/dev16-j1n1.vmx,[FREENAS SSD] dev16-j1n1/dev16-j1n1.vmdk
